Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
1361	SUCCESS	2	117	0.11	0.1	0.21
524	SUCCESS	2	197	0.11	0.1	0.21
1837	SUCCESS	2	277	0.11	0.1	0.21
2746	SUCCESS	2	277	0.11	0.1	0.21
119	SUCCESS	2	38	0.11	0.1	0.21
1222	SUCCESS	2	38	0.11	0.1	0.21
1955	SUCCESS	2	38	0.11	0.1	0.21
188	SUCCESS	2	78	0.11	0.1	0.21
2237	SUCCESS	2	78	0.11	0.1	0.21
1362	SUCCESS	2	118	0.11	0.1	0.21
2301	SUCCESS	2	118	0.11	0.1	0.21
189	SUCCESS	2	79	0.11	0.1	0.21
2238	SUCCESS	2	79	0.11	0.1	0.21
2920	SUCCESS	2	79	0.11	0.1	0.21
1363	SUCCESS	2	119	0.11	0.1	0.21
316	SUCCESS	2	159	0.11	0.1	0.21
618	SUCCESS	2	199	0.11	0.1	0.21
1767	SUCCESS	2	239	0.11	0.1	0.21
1090	SUCCESS	2	279	0.11	0.1	0.21
1303	SUCCESS	2	80	0.21	0.1	0.31
1840	SUCCESS	2	280	0.21	0.1	0.31
1365	SUCCESS	2	121	0.21	0.1	0.31
2386	SUCCESS	2	161	0.21	0.1	0.31
1702	SUCCESS	2	201	0.21	0.1	0.31
900	SUCCESS	2	241	0.21	0.1	0.31
320	SUCCESS	2	162	0.21	0.1	0.31
2436	SUCCESS	2	202	0.21	0.1	0.31
1144	SUCCESS	2	3	0.21	0.1	0.31
2244	SUCCESS	2	83	0.21	0.1	0.31
2389	SUCCESS	2	163	0.21	0.1	0.31
1772	SUCCESS	2	243	0.21	0.1	0.31
195	SUCCESS	2	84	0.21	0.1	0.31
2245	SUCCESS	2	84	0.21	0.1	0.31
1103	SUCCESS	2	284	0.21	0.1	0.31
1846	SUCCESS	2	284	0.21	0.1	0.31
1876	SUCCESS	2	5	0.21	0.1	0.31
2793	SUCCESS	2	5	0.21	0.1	0.31
1980	SUCCESS	2	45	0.21	0.1	0.31
2926	SUCCESS	2	85	0.21	0.1	0.31
909	SUCCESS	2	245	0.21	0.1	0.31
